index,sign,mass,pval,channels,time_start_s,time_end_s,n_channels,n_timepoints
0,positive,2.495966555711001,0.9976696766676376,AF8,0.041206030150753775,0.041206030150753775,1,1
1,positive,10.465172963040208,0.9129041654529566,C3,0.0010050251256281395,0.013065326633165841,1,4
2,positive,2.772589882610601,0.9959219341683658,C4,-0.023115577889447236,-0.023115577889447236,1,1
3,positive,2.2472115528750725,0.9994174191669094,F1,0.041206030150753775,0.041206030150753775,1,1
4,positive,10.56844482811505,0.9111564229536848,F5;FC5;FT7;FT9,0.041206030150753775,0.041206030150753775,4,1
5,positive,2.3290494928714898,0.9991261287503641,FPZ,0.041206030150753775,0.041206030150753775,1,1
6,positive,2.334533390712315,0.9991261287503641,FT9,0.14170854271356786,0.14170854271356786,1,1
7,positive,4.759063292091062,0.9898048354209147,P4,-0.06733668341708543,-0.06331658291457287,1,2
8,positive,2.629688424189687,0.9965045150014564,T6,-0.1678391959798995,-0.1678391959798995,1,1
9,positive,2.4329326118864842,0.9979609670841829,T9,-0.1678391959798995,-0.1678391959798995,1,1
10,positive,12.593983169159564,0.8863967375473347,T9,-0.15979899497487438,-0.1477386934673367,1,4
11,positive,2.2428353236206364,0.9994174191669094,TP9,0.005025125628140725,0.005025125628140725,1,1
12,negative,2.7013847596464986,0.9921351587532771,C3,-0.023115577889447236,-0.023115577889447236,1,1
13,negative,10.317838723263868,0.89163996504515,C4,0.0010050251256281395,0.013065326633165841,1,4
14,negative,2.2880537649197943,0.9979609670841829,C5,0.5356783919597992,0.5356783919597992,1,1
15,negative,33.37821983479067,0.6516166618118264,F10;FT10;FT8;T10;T4,0.0010050251256281395,0.013065326633165841,5,4
16,negative,10.303007179710889,0.89163996504515,F6;FC6;FT10;FT8,0.2341708542713568,0.2341708542713568,4,1
17,negative,9.738559865353142,0.9056219050393242,F6;FC6;FT10;FT8,0.25025125628140704,0.25025125628140704,4,1
18,negative,2.4862099371382413,0.9956306437518205,FC1,0.5356783919597992,0.5356783919597992,1,1
19,negative,2.296311723314924,0.9979609670841829,FT10,0.13366834170854275,0.13366834170854275,1,1
20,negative,2.656767379620961,0.9921351587532771,OZ,0.13366834170854275,0.13366834170854275,1,1
21,negative,2.2274954334571277,0.9988348383338188,OZ,0.14974874371859298,0.14974874371859298,1,1
22,negative,5.8737595524499975,0.9618409554325663,OZ;POZ,0.2341708542713568,0.2341708542713568,2,1
23,negative,5.32398066665052,0.9729099912612875,OZ;POZ,0.33467336683417087,0.33467336683417087,2,1
24,negative,7.052094064108752,0.9504806291872997,P10;T6,-0.0030150753768844185,0.0010050251256281395,2,2
25,negative,2.1930992917723264,0.9991261287503641,P3,-0.03517587939698491,-0.03517587939698491,1,1
26,negative,2.272701509610152,0.9982522575007282,P3,-0.027135678391959794,-0.027135678391959794,1,1
27,negative,23.735610632011703,0.7323041071948733,P6;PO8;T6;TP10;TP8,0.21809045226130658,0.23819095477386937,5,6
28,negative,4.5798748521508195,0.9877658025050976,P6;PO8,0.33467336683417087,0.33467336683417087,2,1
29,negative,2.34182397663743,0.9979609670841829,P9,-0.023115577889447236,-0.023115577889447236,1,1
30,negative,2.34609236444591,0.9979609670841829,PO7,0.13366834170854275,0.13366834170854275,1,1
31,negative,2.4257988387920006,0.9956306437518205,POZ,0.25025125628140704,0.25025125628140704,1,1
32,negative,2.508094594296031,0.9950480629187299,POZ,0.3507537688442211,0.3507537688442211,1,1
33,negative,2.424983663317567,0.9956306437518205,POZ,0.43517587939698493,0.43517587939698493,1,1
34,negative,14.981258468385919,0.8287212350713662,T3;T9,-0.023115577889447236,-0.015075376884422093,2,3
35,negative,4.427703981333607,0.99009612583746,T4,0.21809045226130658,0.22211055276381914,1,2
36,negative,4.861436983871258,0.9845616079230993,TP10;TP8,0.13366834170854275,0.13366834170854275,2,1
37,negative,2.554986407068177,0.9944654820856393,TP10,0.25025125628140704,0.25025125628140704,1,1
