channel,ch_index,peak_t,peak_time_s,peak_time_idx,meanA_at_peak,meanB_at_peak,nA,nB
Fp1,0,4.858867747897635,-0.14200000298023224,58,6.32358188035198e-08,-4.747485320422129e-07,4,3
FPZ,1,1.4909087577987785,0.042999997019767755,243,2.0954570345566026e-07,-1.5024007495867409e-06,4,3
Fp2,2,2.0744498043203463,0.03999999701976775,240,5.746854156996051e-07,-9.442121987982924e-07,4,3
AF7,3,2.582421418158446,-0.20000000298023224,0,-8.532441420072701e-10,-2.0300299041764447e-07,4,3
AF3,4,1.6115612026780912,-0.20000000298023224,0,3.3954397682389725e-08,-1.0421947157131702e-07,4,3
AFZ,5,1.2741517595233303,0.042999997019767755,243,5.451842071124702e-07,-6.959157682710307e-07,4,3
AF4,6,1.2622724024900627,0.042999997019767755,243,7.658876342020449e-07,-8.50241254587066e-07,4,3
AF8,7,1.5926988466812957,0.043999997019767756,244,5.358455439363752e-07,-1.5157982223475603e-06,4,3
F9,8,9.583082770546042,0.5399999970197678,740,1.1153881018799439e-07,-4.8315815585435e-07,4,3
F7,9,9.008672550213213,0.17999999701976777,380,4.576508771947374e-08,-9.840390475801541e-07,4,3
F5,10,2.9918404879213374,-0.20000000298023224,0,3.339470477925488e-08,-1.3737718992009226e-07,4,3
F3,11,2.0629164716823376,-0.13600000298023224,64,1.2183535424981073e-07,-1.0237607976174938e-07,4,3
F1,12,1.4677852656661698,0.15599999701976774,356,2.093760738119954e-07,-8.098491548480524e-07,4,3
FZ,13,1.2612735508207005,0.5739999970197678,774,2.7818144943125844e-07,6.024198503003693e-08,4,3
F2,14,1.005564038440239,0.043999997019767756,244,2.0114348586730557e-07,-7.966676397093883e-07,4,3
F4-,15,-1.1192917528703783,0.3819999970197677,582,-3.746619370303961e-07,2.90411037440208e-07,4,3
F6,16,1.2026038193773942,0.043999997019767756,244,3.424568433274544e-07,-1.1680538515671894e-06,4,3
F8,17,5.966054056569248,0.14899999701976774,349,7.31711402579549e-08,-8.182565238712414e-07,4,3
F10,18,6.715080728459564,0.09299999701976774,293,1.2519959913248613e-07,-9.534050870267189e-07,4,3
FT9,19,3.537416109515293,-0.20000000298023224,0,1.7017416809039787e-08,-2.0387658376345522e-07,4,3
FT7,20,2.6157624618629636,-0.20000000298023224,0,5.4143587391308756e-08,-1.4006766472599944e-07,4,3
