channel,rms
Fp1,1.1957881180910928e-06
Fp2,7.532321412595426e-07
F3,5.365564098212747e-07
F4,4.7694657967313e-07
C3,9.408102081183937e-07
C4,9.39715503405076e-07
P3,7.824102364026142e-07
P4,1.4230057937398265e-07
O1,7.296638723183842e-07
O2,7.598000850836452e-07
F7,6.489020806771875e-07
F8,6.774834498816591e-07
T3,5.258735565350954e-07
T4,3.8584426388587277e-07
T5,8.799747615818449e-07
T6,6.521339799424098e-07
FZ,5.811729254690402e-07
CZ,8.899311169936977e-07
PZ,1.0253631845051213e-06
F9,3.4276249462780407e-07
F10,7.316458693272052e-07
T9,1.6120594023329495e-06
T10,7.91301390695045e-07
P9,1.3463066384315509e-06
P10,6.174200707705021e-07
AF7,7.540393415743747e-07
AF3,7.548631497160442e-07
F5,7.435816299361446e-07
F1,7.464314654794622e-07
FT9,1.8606831323338263e-06
FT7,8.078149422027153e-07
FC5,8.502053226573605e-07
FC3,8.236939732364819e-07
FC1,8.643914453182861e-07
FCZ,8.387412378524572e-07
C5,1.1928005309786473e-06
C1,9.235667023892777e-07
TP9,1.2370084642853698e-06
TP7,1.5796065227254247e-06
CP3,7.76114175112118e-07
CP1,7.68843412669663e-07
P5,9.446818755996539e-07
P1,1.0814528012445163e-06
PO7,1.1356254140779622e-06
PO3,1.1297810205297318e-06
POZ,9.82463365960269e-07
OZ,1.147668536951848e-06
FPZ,8.276878830714304e-07
AFZ,7.393487564583806e-07
AF4,8.387047354013774e-07
AF8,1.0759710194864548e-06
F2,9.509348139866094e-07
F6,1.1986481624806462e-06
FC2,8.572860814402593e-07
FC4,9.239567930928479e-07
FC6,9.958167490127279e-07
FT8,9.456680952919203e-07
FT10,1.1280999346665574e-06
C6,9.83235577977904e-07
C2,1.1417299990247902e-06
CPZ,1.2876197869891877e-06
CP2,9.270754482334076e-07
CP4,1.3525966840215496e-06
CP6,8.392337522353937e-07
TP8,8.34421739599777e-07
TP10,8.682233815107887e-07
P2,1.191437594275782e-06
P6,1.2516530260201044e-06
PO4,8.357889476409296e-07
PO8,8.94068464222479e-07
CP5,8.849287641459236e-07
