window_id,start_time,end_time,frac_W,frac_N1,frac_N2,frac_N3,frac_R,is_W,is_N1,is_N2,is_N3,is_R,trans_W_N1,trans_W_N2,trans_W_N3,trans_W_R,trans_N1_W,trans_N1_N2,trans_N1_N3,trans_N1_R,trans_N2_W,trans_N2_N1,trans_N2_N3,trans_N2_R,trans_N3_W,trans_N3_N1,trans_N3_N2,trans_N3_R,trans_R_W,trans_R_N1,trans_R_N2,trans_R_N3,SDNN,RMSSD,LF,HF,LF/HF
0,0,300,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806.2428344348803,692.409052425046,0.018329666337566754,0.02922088540846303,0.6272796351426801
1,300,600,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.95455155767743,67.41354790157511,0.004747408918011404,0.002939237705730414,1.6151837290178104
2,600,900,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.61935780159896,62.00787200408145,0.0003268822148632955,0.0002790960302737333,1.1712177150735332
3,900,1200,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.38463789990868,61.06265190462683,7.32074587811279e-05,0.00010704035376011885,0.6839239241042528
4,1200,1500,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.41618966021052,61.4920740241101,0.00647256957821178,0.00034587124499410685,18.713812356161792
5,1500,1800,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.26474234466754,63.94926440159742,0.0004634088232800573,0.00011400282338166784,4.064889004797889
6,1800,2100,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.14847283718553,55.92957933971744,0.0006172316267672719,0.00031795853932011116,1.9412330553760078
7,2100,2400,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.66126926502174,67.49635156867397,0.0014161546903971207,0.0006452116606088077,2.194868408083121
8,2400,2700,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.86100865022273,69.32750487072643,0.0005865729748506727,0.0008756529336416905,0.6698692510641359
9,2700,3000,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.55146852798513,63.70232892885326,0.00021400724106174131,0.0001788751907302441,1.1964053829269075
10,3000,3300,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.08541112611137,61.39915860603402,0.0008554591548906214,0.0003442198366552221,2.4852116693886748
11,3300,3600,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.76306688023901,46.97892659455117,0.0007767313067270456,0.0003115567830004684,2.493064985607705
12,3600,3900,0.5,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.69857472100543,50.0052073965893,0.00015258970918670688,0.00021787698956983017,0.7003479784073364
13,3900,4200,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.28441123789729,78.59842530267252,0.005400530977965664,0.0019027602097066846,2.838261463749113
14,4200,4500,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.6952033527357,64.1027901254251,0.003053409941260121,0.004421928309031253,0.6905154782866789
