HF,LF,LF/HF,RMSSD,SDNN,SampEn,is_N1,is_N2,is_N3,is_R,is_W,subject_id,trans_L_W,trans_N1_N2,trans_N1_N3,trans_N1_R,trans_N1_W,trans_N2_N1,trans_N2_N3,trans_N2_R,trans_N2_W,trans_N3_N1,trans_N3_N2,trans_N3_R,trans_N3_W,trans_R_L,trans_R_N1,trans_R_N2,trans_R_N3,trans_R_W,trans_W_N1,trans_W_N2,trans_W_N3,trans_W_R,window_id
-6.641652840484608,-7.180346955009251,0.5831903254399056,84.22089512721897,90.49216696327603,1.6832206567803012,0,0,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
-7.233753628817293,-6.364847967529871,2.3862206815753804,67.41354790157511,97.95455155767743,1.4736331954065576,0,0,0,0,1,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1
-7.240729173737665,-8.14865290704778,0.402527299225813,62.00787200408145,51.61935780159896,1.5878333950605783,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2
-7.370768928220563,-8.721115007059968,0.2579715830183155,61.06265190462683,45.38463789990868,1.0816677691086556,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3
-7.326812575164945,-7.65809402762579,0.7175736198020605,61.4920740241101,82.41618966021052,1.1920706890535546,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4
-7.336976958809765,-7.85337701782275,0.5960441428080537,63.94926440159742,66.26474234466754,0.8843191367335153,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5
-7.634374174078516,-7.847347725555635,0.8077799863633288,55.92957933971744,59.14847283718553,1.1460119295628937,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6
-7.215873311432844,-7.483675990748436,0.7647385698742717,67.49635156867397,62.66126926502174,1.0671983997021302,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7
-7.095727788845648,-7.288103541085305,0.8247853667636537,69.32750487072643,92.86100865022271,1.183852444609593,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8
-7.286896677547913,-8.843724274821875,0.2096490398302586,63.70232892885326,44.55146852798513,1.852243191880334,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9
-7.198679370139304,-7.353458436564821,0.8564123373437894,61.39915860603402,64.08541112611137,1.2763475728967395,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10
-7.657543384285324,-7.793841645347129,0.8723120782783081,46.97892659455117,46.76306688023901,1.6287376041063708,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11
-7.809285110828733,-7.985960878883642,0.8376515394055277,50.0052073965893,90.69857472100544,1.0320870690924078,1,0,0,0,1,4,,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,12
-6.985802296263072,-6.714880949137835,1.3115087338719198,78.59842530267252,94.28441123789727,1.3544019690247844,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13
-7.343128698498695,-5.866917118066856,4.381561182176633,64.1027901254251,108.6952033527357,1.349607643171894,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14
-7.9744808467588255,-9.115399207830928,0.3175423284269446,46.074499799550495,35.8532553575628,1.298603125800858,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15
-7.732718203668155,-7.179114250079946,1.7412021231596344,51.31103918728333,68.24307789923768,1.172439336488312,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16
-7.620639491665016,-7.877190498100234,0.7732529955338252,50.42512601205053,58.74963226481032,1.356661219321689,1,0,0,0,1,4,,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,17
-7.715554074096648,-7.14874730610467,1.764343967182378,51.009802979378655,56.15792144004666,1.267515023628516,1,0,0,0,1,4,,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,18
-7.0457704601191296,-6.988678145214362,1.0588210707931394,64.72479660668834,59.737997265334855,1.6619384033857945,1,1,0,0,0,4,,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19
-6.928668717766397,-5.586511812014824,3.830179703968876,69.6856621068971,133.87000038407905,1.1233604862457989,1,1,0,0,1,4,,1,0,0,1,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,20
-7.553523291260267,-6.363057755565592,3.29298557584214,56.32854016269041,75.94525431881132,1.5922099104111285,1,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,21
-7.333180843179507,-5.733444471138324,4.957783202762558,64.31416534793549,115.83406770638706,1.3037614515600284,1,1,0,0,1,4,,1,0,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,22
-7.768454778015936,-7.187069066646017,1.7903841919149528,59.35742020446923,94.24296278999849,1.35068124783807,1,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,23
-7.178555389113519,-5.964975500586051,3.368616554973252,70.28956377583448,92.58251875123584,1.6664974680860392,1,1,0,0,1,4,,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,24
-6.805057636364143,-5.392854497808013,4.107793781587457,83.3218658776653,110.59964256185312,1.4695951587129847,1,1,0,0,0,4,,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25
-7.0961579146272085,-7.433008387282941,0.7136699048618012,71.52701566945996,61.37013786338692,1.5452447175253294,0,1,1,0,0,4,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26
-6.9652583038735605,-7.398573500006086,0.6479832481732609,72.36084283008883,64.01607166653669,1.355181424934325,0,0,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27
-6.960207508989776,-5.598427345328896,3.906198043931844,77.53954335003127,104.2406548876163,1.571063441603743,0,1,1,0,0,4,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,28
